Sherwood Park - Part ,H1 ,Harare
Sherwood Park - Part ,H12 ,Harare
Somerby Area ,H21 ,Harare
Spring Heights ,H28 ,Harare
Stanbury Park ,H12 ,Harare
Startmore Farm ,H16 ,Harare
Stoneridge Rd ,H17 ,Harare
Strathaven ,H1 ,Harare
Sunridge ,H12 ,Harare
Tafara ,H15 ,Harare
The Grange ,H8 ,Harare
Thornpark ,H2 ,Harare
Twentydales Ext. ,H17 ,Harare
Tynwald North ,H13 ,Harare
Tynwald South ,H4 ,Harare
Umwinsidale ,H28 ,Harare
Uplands ,H17 ,Harare
Upper Mt Hampden ,H12 ,Harare
Upper Reaches Rd ,H11 ,Harare
Vainona ,H7 ,Harare
Valencedene ,H1 ,Harare
Waldon Area ,H21 ,Harare
Warren Park ,H4 ,Harare
Warren Park - Part ,H18 ,Harare
Warren Park - Part ,H18 ,Harare
Warren Park E ,H13 ,Harare
Waterfalls ,H17 ,Harare
Westwood ,H18 ,Harare
Westwood ,H18 ,Harare
Widdecombe ,H14 ,Harare
Wilmington Park ,H14 ,Harare
Winchdon ,H7 ,Harare
Zengeza 1,C1,Chitungwiza
Zengeza 2,C1,Chitungwiza
Zengeza 3,C1,Chitungwiza
Zengeza 4,C1,Chitungwiza
Zengeza 5,C1,Chitungwiza
Zengeza 5 Extension,C1,Chitungwiza
Guzha ,C1 ,Chitungwiza
Unit J ,C1,Chitungwiza
St Mary’s,C1 ,Chitungwiza
Manyame Park,C1 ,Chitungwiza
Seke Unit A,C2 ,Chitungwiza
Seke Unit B,C2 ,Chitungwiza
Seke Unit C,C2 ,Chitungwiza
Seke Unit D,C2 ,Chitungwiza
Seke Unit E,C2 ,Chitungwiza
Seke Unit F,C2 ,Chitungwiza
Seke Unit G Old,C2 ,Chitungwiza
Seke Unit K,C2 ,Chitungwiza
Seke Unit L,C2 ,Chitungwiza
Seke Unit M,C2 ,Chitungwiza
Seke Unit B,C3 ,Chitungwiza
Seke Unit N,C3 ,Chitungwiza
Seke Unit O,C3 ,Chitungwiza
Seke Unit P,C3 ,Chitungwiza
"Police Flats, Unit B ",C3 ,Chitungwiza
"Murisa T/ship, Dema ",C3 ,Chitungwiza
